cluster_id,family,reasoning_shape,failure_reason,count,sample_ids,sample_gold,sample_questions
U001,magnetic_induction,magnetic_induction_primitives,RLC formula not covered,108,NL007; NL008; NL010; NL015; NL016; NL019; NL023; NL028,NL007=0.11 A; NL008=0.01 H; NL010=0.0004 H; NL015=0.09 A; NL016=0.002 H,"NL007: An inductor has a magnetic field energy of 1.8 mJ and an inductance (L) of 0.3 H. Calculate the c... || NL008: An inductor has a magnetic field energy of 0.45 mJ, and the current through it is 0.3 A. Calculat... || NL010: An inductor has a current of 4 A, and its magnetic field energy is 3.2 mJ. Calculate its inductan..."
U002,electrostatics_force,electrostatics_relation_or_vector_gap,target charge not identified,97,LD008; LD009; LD011; LD013; LD014; LD015; LD016; LD019,LD008=7 N; LD009=8.66 N; LD011=5 N; LD013=10 N; LD014=3.46 μC,"LD008: Two electric forces are acting in the same direction, with magnitudes of 3 N and 4 N respectively... || LD009: Two electric forces, each with a magnitude of 5 N, act at an angle of 60° to each other. What is... || LD011: An electric charge is subjected to two electric forces with magnitudes of 4 N and 3 N, acting at..."
U003,capacitor,capacitor_energy_state,capacitor formula not covered,72,TD361; TD362; TD367; TD370; TD371; TD372; TD375; TD378,TD361=160 μJ; TD362=4 μF; TD367=4 times; TD370=10 μF; TD371=9 times,"TD361: A capacitor has a charge of 40 μC and a voltage of 8 V. Calculate the energy stored in the capaci... || TD362: Calculate the capacitance of a capacitor that has 200 μJ of stored energy when the voltage across... || TD367: A capacitor has a capacitance of 2 μF, and a voltage U is applied across it. If U is doubled, how..."
U004,ac_rlc,rlc_resonance,RLC formula not covered,59,DDT333; CHLT007; CHLT012; CH023; CH024; CH033; CH063; CH065,DDT333=30.0 V; CHLT007=No -; CHLT012=Yes -; CH023=91.89 Hz; CH024=225.08 Hz,"DDT333: Given a series RLC circuit with R = 15 Ω and an RMS current of 2 A, what is the total RMS voltage... || CHLT007: A series RLC circuit consists of R=15 Ω, L=0.3 H, and C=30 μF. Is the circuit in resonance at a f... || CHLT012: An RLC circuit has R=20 Ω, L=0.159 H, and C=10 μF. Is the circuit in resonance at f=126 Hz?"
U005,unknown,unknown_unsupported,RLC formula not covered,53,THCB004; THCB007; THCB066; THCB067; THCB068; THCB069; THCB070; THCB071,THCB004=0.26 A; THCB007=0.13 A; THCB066=I_D₁ = 1.0; I_D₂ = 1.0; I_total = 2.0 A; A; A; THCB067=I_D₂ = 0.6 A; THCB068=I_total = 1.5 A,"THCB004: When measuring the current through a resistor, a value of 0.25 A was obtained with an uncertainty... || THCB007: A student measures the current 3 times and obtains the values: 1.8 A, 2.0 A, 2.2 A. What is the r... || THCB066: A voltage source of U = 9V. Two lamps are connected in parallel, and each lamp has a resistance R..."
U006,ac_rlc,rlc_formula_family,RLC formula not covered,45,DT047; DDT330; DDT347; CHLT014; CH021; CH026; CH028; CH061,DT047=1/2 . (1/ \sqrt{E_A} + 1/ \sqrt{E_B}) -; DDT330=the circuit exhibits an inductive characteristic —; DDT347=12.03 Ω; CHLT014=Yes -; CH021=39.79 Hz,"DT047: A charge q is placed at point O in the air. Ox is an electric field line. Take two points A and B... || DDT330: In an RLC circuit, Z_L = 70 Ω and Z_C = 50 Ω. What is the circuit's characteristic? || DDT347: A series RLC circuit has R = 12 Ω, L = 0.2 H, and f = 50 Hz. Calculate Z if C = 50 μF."
U007,capacitor,capacitor_network,capacitor formula not covered,43,TD007; TD008; TD009; TD010; TD011; TD015; TD017; TD021,TD007=1200 V; TD008=600 V; TD009=3 nC; TD010=100 V; TD011=5 nF,TD007: A parallel-plate air capacitor with a capacitance of C = 2pF is charged to a potential difference... || TD008: An air-filled parallel plate capacitor with a capacitance C = 2 pF is charged to a potential diff... || TD009: A parallel-plate capacitor has circular plates with a radius of 10 cm. The distance between the p...
U008,energy_power,energy_power_primitives,capacitor formula not covered,41,THCB075; THCB077; THCB082; THCB084; NL025; NL026; NL095; NL100,THCB075=P = 48.0 W; THCB077=P_total = 30 W; THCB082=P = 9.0 W; THCB084=I = 2.0 A; NL025=all energy is entirely stored in the magnetic field of the inductor —,"THCB075: A 24V source supplies 2 A of current to a circuit with two parallel lamps. Calculate the total po... || THCB077: The power consumption of lamps D₁ and D₂ is 10W and 20W, respectively. Calculate the total power... || THCB082: Two identical lamps are connected in parallel and consume a total of 18W. Calculate the power of..."
U009,electrostatics_field,electrostatics_relation_or_vector_gap,target field point not identified,39,LD068; LD075; LD083; DT020; DT027; DT029; DT030; DT036,LD068=538 N/C; LD075=18 cm; LD083=9.6 × 10^2 V/m; DT020=\frac{4 \sqrt{2} k q}{\epsilon a^2} V/m; DT027=8 cm,"LD068: Three equal positive point charges, q = 5 × 10^-9 C, are placed at three vertices of a square wit... || LD075: Two charges, q1 = 8 × 10^-9 C and q2 = −2 × 10^-9 C, are placed at points A and B, separated by 9... || LD083: Three positive charges, q1 = q2 = q3 = q = 5 × 10^-9 C, are placed at three consecutive vertices..."
U010,capacitor,capacitor_target_or_relation,capacitor formula not covered,33,TD014; TD095; TD096; TD099; TD358; TD363; TD393; DDT351,TD014=320 V; TD095=240 V; TD096=193.75 V; TD099=196.67 V; TD358=5 μF,"TD014: Two capacitors with capacitances C1 = 2 μF and C2 = 3 μF are charged to voltages U1 = 200 V and U... || TD095: Two capacitors with capacitances C1 = 4 μF and C2 = 6 μF are charged to U1 = 150 V and U2 = 300 V... || TD096: Two capacitors with capacitances C1 = 3 μF and C2 = 5 μF, respectively, are charged to U1 = 100 V..."
