id,question,cot,answer,unit,cot_final_value,answer_value,cot_final_unit,answer_unit,value_match,unit_match,match
TD402,"Calculate the capacitance C of the capacitor, given that it stores Q = 3 mC when fully charged under U = 30 V.","Step 1: Identify the given values from the question: the charge Q = 3 mC and the voltage U = 30 V.
Step 2: Recall the formula for capacitance: C = Q / U.
Step 3: Convert the charge to Coulombs: Q = 3 mC = 3 × 10^-3 C.
Step 4: Substitute the values into the formula: C = (3 × 10^-3 C) / (30 V).
Step 5: Calculate the capacitance: C = 1 × 10^-4 F.
Step 6: Convert to microfarads: 1 × 10^-4 F = 100 μF.",100,μ,100.0,100.0,F,μ,True,False,False
LD001,"Two charges, q1 = 6 × 10^-8 C and q2 = -6 × 10^-8 C, are placed at points A and B in air, 8 cm apart. A third charge, q3 = 6 × 10^-8 C, is placed at point C, with CA = 5 cm and CB = 3 cm. Determine the force acting on q3.","Step 1: Since CA = 5 cm, CB = 3 cm, and AB = 8 cm, point C lies on segment AB between A and B.
Step 2: Determine the force directions. Because q1 and q3 are both positive, q1 repels q3 toward B. Because q2 is negative and q3 is positive, q2 attracts q3 toward B. Therefore, both forces act in the same direction.
Step 3: Calculate the force exerted by q1 on q3 using Coulomb's law: F13 = k × |q1 q3| / CA^2 = 9 × 10^9 × (6 × 10^-8 × 6 × 10^-8) / (0.05)^2 = 0.01296 N.
Step 4: Calculate the force exerted by q2 on q3: F23 = k × |q2 q3| / CB^2 = 9 × 10^9 × (6 × 10^-8 × 6 × 10^-8) / (0.03)^2 = 0.036 N.
Step 5: Since the two forces are in the same direction, add them: F = F13 + F23 = 0.01296 + 0.036 = 0.04896 N.
Step 6: Round the result: F ≈ 0.05 N, directed from C toward B.",0.05,N,0.05,0.05,C,N,True,False,False
LD005,"Three electric charges, q1 = q2 = q3 = 1.6 × 10^-19 C, are placed at the three vertices of an equilateral triangle ABC with side length 16 cm in air. Determine the net electric force vector acting on q3.","Step 1: Identify the given values: q1 = q2 = q3 = 1.6 × 10^-19 C, and the side length of the equilateral triangle is r = 16 cm = 0.16 m.
Step 2: Since all charges are positive, q1 and q2 both repel q3. The two forces F13 and F23 act along the sides of the equilateral triangle and have equal magnitudes.
Step 3: Calculate the magnitude of each force using Coulomb's law: F = k × q² / r² = 9 × 10^9 × (1.6 × 10^-19)² / (0.16)² = 9 × 10^-27 N.
Step 4: Since the triangle is equilateral, the angle between F13 and F23 is 60°.
Step 5: Combine the two equal force vectors: F_net = √(F² + F² + 2F²cos60°) = F√3.
Step 6: Substitute F = 9 × 10^-27 N: F_net = 9√3 × 10^-27 N.
Step 7: The direction of the net force is along the angle bisector at vertex C, pointing outward from the triangle, away from side AB.",9√3 × 10^-27,N,7.0,9.0,C,N,False,False,False
LD008,"Two electric forces are acting in the same direction, with magnitudes of 3 N and 4 N respectively. What is the resultant force?","Step 1: Identify the magnitudes of the two forces given in the problem.
Step 2: Note that the problem states both forces are acting in the same direction.
Step 3: To find the resultant force of multiple forces acting in the same direction, add their magnitudes.
Step 4: Calculate the resultant force by adding the given magnitudes: 3 N + 4 N.",7,N,4.0,7.0,N,N,False,True,False
LD009,"Two electric forces, each with a magnitude of 5 N, act at an angle of 60° to each other. What is the resultant force?","Step 1: The magnitudes of the two electric forces are F1 = 5 N and F2 = 5 N.
Step 2: The angle between the two forces is θ = 60°.
Step 3: The formula for the resultant force (R) of two forces F1 and F2 with an angle θ between them is R = √(F1² + F2² + 2F1F2cosθ).
Step 4: Substitute the given values into the formula: R = √(5² + 5² + 2 × 5 × 5 × cos(60°)).",8.66,N,60.0,8.66,N,N,False,True,False
LD014,"Two charges separated by 15 cm exert a force of 4.8 N. Given that q1 = q2 = q, find q.","Step 1: Identify the given values: F = 4.8 N, r = 15 cm = 0.15 m, and q1 = q2 = q.
Step 2: Use Coulomb’s law: F = k × q² / r², where k = 9 × 10^9 N·m²/C².
Step 3: Substitute the values into the formula: 4.8 = (9 × 10^9 × q²) / (0.15)².
Step 4: Rearrange to solve for q²: q² = 4.8 × (0.15)² / (9 × 10^9).
Step 5: Calculate q² = 1.2 × 10^-11.
Step 6: Take the square root: q = √(1.2 × 10^-11) ≈ 3.46 × 10^-6 C.
Step 7: Convert to microcoulombs: q ≈ 3.46 μC.",3.46,μC,3.46,3.46,C,μC,True,False,False
LD017,"Three charges: q1 = +3 μC, q2 = -2 μC, and q3 = +1 μC are placed 10 cm apart on a straight line. Calculate the force acting on q2.","Step 1: Assume the charges are arranged consecutively on a straight line as q1 - q2 - q3, with q1q2 = q2q3 = 10 cm = 0.10 m.
Step 2: Since q1 is positive and q2 is negative, the force exerted by q1 on q2 is attractive and directed toward q1.
Step 3: Calculate this force: F12 = k × |q1q2| / r² = 9 × 10^9 × (3 × 10^-6 × 2 × 10^-6) / (0.10)² = 5.4 N.
Step 4: Since q3 is positive and q2 is negative, the force exerted by q3 on q2 is attractive and directed toward q3.
Step 5: Calculate this force: F32 = k × |q3q2| / r² = 9 × 10^9 × (1 × 10^-6 × 2 × 10^-6) / (0.10)² = 1.8 N.
Step 6: The two forces act in opposite directions, so subtract their magnitudes: F_net = 5.4 - 1.8 = 3.6 N.
Step 7: The net force is directed toward q1 because F12 is larger than F32.",3.6,N,32.0,3.6,N,N,False,True,False
LD020,"A charge is acted upon by two forces, each of magnitude 10 N. Find the angle between the two forces if the resultant force is also 10 N.","Step 1: Identify the magnitudes of the two forces and the resultant force: F1 = 10 N, F2 = 10 N, and R = 10 N.
Step 2: Use the formula for the resultant of two forces: R² = F1² + F2² + 2F1F2cosθ.
Step 3: Substitute the values: 10² = 10² + 10² + 2(10)(10)cosθ.
Step 4: Simplify the equation: 100 = 200 + 200cosθ.
Step 5: Solve for cosθ: 200cosθ = -100, so cosθ = -1/2.
Step 6: Therefore, θ = 120°.",120,degree,120.0,120.0,N,degree,True,False,False
LD023,"Two forces act on a charge. They are collinear and act in opposite directions, with magnitudes of 15 N and 9 N. Calculate the magnitude and direction of the resultant force.","Step 1: Identify that the two forces are collinear and act in opposite directions.
Step 2: For two opposite collinear forces, subtract the smaller magnitude from the larger magnitude.
Step 3: Calculate the resultant magnitude: R = 15 N - 9 N = 6 N.
Step 4: The direction of the resultant force is the same as the direction of the larger force, namely the 15 N force.",6,N,15.0,6.0,N,N,False,True,False
LD025,"Two charges, q1 = +2 μC and q2 = +2 μC, are placed at the ends of a 10 cm long line segment. A third charge, q3 = -1 μC, is positioned along the line connecting q1 and q2. Calculate the net force acting on q3 when it is 4 cm away from q1.","Step 1: Convert the charges and distances to SI units: q1 = q2 = +2 × 10^-6 C, q3 = -1 × 10^-6 C, r13 = 4 cm = 0.04 m.
Step 2: Since the total distance between q1 and q2 is 10 cm, the distance from q3 to q2 is r23 = 10 cm - 4 cm = 6 cm = 0.06 m.
Step 3: Since q3 is negative and q1 is positive, q1 attracts q3. Calculate F13 = k × |q1q3| / r13² = 9 × 10^9 × (2 × 10^-6 × 1 × 10^-6) / (0.04)² = 11.25 N.
Step 4: Since q3 is negative and q2 is positive, q2 also attracts q3. Calculate F23 = k × |q2q3| / r23² = 9 × 10^9 × (2 × 10^-6 × 1 × 10^-6) / (0.06)² = 5 N.
Step 5: The two forces act in opposite directions, so subtract their magnitudes: F_net = 11.25 - 5 = 6.25 N.
Step 6: The net force is directed toward q1 because F13 is larger than F23.",6.25,N,23.0,6.25,N,N,False,True,False
LD028,"Two point charges, q1 = 8 × 10⁻⁸ C and q2 = -8 × 10⁻⁸ C, are placed at points A and B, respectively, in air (AB = 6 cm). Determine the force acting on a third charge q3 = 8 × 10⁻⁸ C if it is placed at point C such that CA = CB = 5 cm.","Step 1: Convert all given distances to meters.
Step 2: Identify the two electrostatic forces acting on charge q3: F13 due to q1, and F23 due to q2.
Step 3: Calculate the magnitude of force F13 using Coulomb's Law, F = k |q1 q3| / r².
Step 4: Calculate the magnitude of force F23 using Coulomb's Law, F = k |q2 q3| / r².",27.65 × 10^-3,N,3.0,0.02765,F,N,False,False,False
LD041,"Two charges of the same magnitude q are placed at two adjacent vertices of an isosceles right triangle with side length a = 10 cm. Find the magnitude of the total electric force acting on a test charge q0 placed at the remaining vertex, given F0 = kqq0/a^2.","Step 1: Consider the arrangement where q0 is placed at the right-angle vertex of the isosceles right triangle, and the two equal charges q are placed at the other two vertices.
Step 2: The distance from q0 to each charge q is a, so each force has magnitude F0 = kqq0/a².
Step 3: The two forces act along the two legs of the isosceles right triangle, which are perpendicular to each other.
Step 4: Therefore, the resultant force is F = √(F0² + F0²).
Step 5: Simplify the result: F = √2 × F0.",√2 × F0,N,0.0,2.0,F,N,False,False,False
LD047,"A test charge is placed at a point whose distances to the two charges q1 = +2 μC and q2 = -3 μC are 3 cm and 4 cm, respectively. The two charges are fixed and separated by 7 cm. What is the direction of the net electric force acting on the test charge?","Step 1: Identify the given charges and their positions relative to the test charge.
Step 2: Note that the distance from q1 to the test charge (3 cm) plus the distance from q2 to the test charge (4 cm) equals the separation between q1 and q2 (7 cm).
Step 3: This indicates that the test charge is placed on the straight line connecting q1 and q2, specifically between them.
Step 4: Determine the direction of the force exerted by q1 (+2 μC) on the positive test charge. 
Since both are positive, this force is repulsive, pushing the test charge away from q1, which means towards q2.",Towards q₂,-,2.0,,cm,-,False,False,False
LD051,"Two point charges, q1 = q2 = 16 × 10⁻⁸ C, are placed at points A and B, which are 10 cm apart in the air. Determine the electric field strength (or intensity) caused by these two point charges at point N, where NA = 5 cm and NB = 15 cm.","Step 1: Identify the given values: q1 = q2 = 16 × 10^-8 C, AB = 10 cm, NA = 5 cm = 0.05 m, and NB = 15 cm = 0.15 m.
Step 2: Since NA + AB = NB, point A lies between N and B.
Step 3: Calculate the electric field at N due to q1: E1 = k × |q1| / NA² = 9 × 10^9 × 16 × 10^-8 / (0.05)² = 5.76 × 10^5 V/m.
Step 4: Since q1 is positive, E1 points away from q1.
Step 5: Calculate the electric field at N due to q2: E2 = k × |q2| / NB² = 9 × 10^9 × 16 × 10^-8 / (0.15)² = 6.4 × 10^4 V/m.
Step 6: Since q2 is also positive, E2 also points away from q2. At point N, E1 and E2 are in the same direction.
Step 7: Add the two fields: E = E1 + E2 = 5.76 × 10^5 + 6.4 × 10^4 = 6.4 × 10^5 V/m.",6.4 × 10^5,V/m,640000.0,640000.0,m,V/m,True,False,False
LD052,"Two point charges, q1 = q2 = 16 × 10⁻⁸ C, are placed at points A and B, which are 10 cm apart in air. Determine the electric field strength produced by these two point charges at point C, given that AC = BC = 8 cm.","Step 1: Identify the given values: q1 = q2 = 16 × 10^-8 C, AB = 10 cm, and AC = BC = 8 cm = 0.08 m.
Step 2: Since AC = BC, point C lies on the perpendicular bisector of AB. The midpoint of AB is 5 cm from each charge.
Step 3: Calculate the height from C to AB: h = √(8² - 5²) = √39 cm.
Step 4: Calculate the electric field magnitude due to each charge at C: E0 = kq / r² = 9 × 10^9 × 16 × 10^-8 / (0.08)² = 2.25 × 10^5 V/m.
Step 5: Since the two charges are equal and positive, the horizontal components of the two electric fields cancel by symmetry.
Step 6: The components along the perpendicular bisector add: E = 2E0 × h / 8 = 2 × 2.25 × 10^5 × √39 / 8.
Step 7: Calculate the result: E ≈ 3.51 × 10^5 V/m.",3.51 × 10^5,V/m,351000.0,351000.0,m,V/m,True,False,False
LD053,"At two points A and B, separated by 10 cm in the air, two charges q1 = -q2 = 6 × 10^-6 C are placed. Determine the electric field strength caused by these two point charges at point C, knowing that AC = BC = 12 cm.","Step 1: Interpret q1 = -q2 = 6 × 10^-6 C as two charges with equal magnitudes and opposite signs: q1 = +6 × 10^-6 C and q2 = -6 × 10^-6 C.
Step 2: Convert the distances to meters: AB = 10 cm = 0.10 m and AC = BC = 12 cm = 0.12 m.
Step 3: Since AC = BC, point C lies on the perpendicular bisector of AB. Half of AB is 5 cm.
Step 4: Calculate the electric field magnitude due to each charge at C: E0 = k × |q| / r² = 9 × 10^9 × 6 × 10^-6 / (0.12)² = 3.75 × 10^6 V/m.
Step 5: Because the charges have opposite signs, the components perpendicular to AB cancel, while the components parallel to AB add.
Step 6: The parallel component factor for each field is 5/12, so E_net = 2E0 × 5/12.
Step 7: Substitute the value: E_net = 2 × 3.75 × 10^6 × 5/12 = 3.125 × 10^6 V/m.",3.125 × 10^6,V/m,3125000.0,3125000.0,m,V/m,True,False,False
LD056,"At two points A and B, separated by 20 cm in air, two point charges q1 = 4 × 10^-6 C and q2 = -6.4 × 10^-6 C are placed. Determine the electric field strength caused by these two point charges at point C, knowing that AC = 12 cm and BC = 16 cm. Determine the electric force acting on charge q3 = -5 × 10^-8 C placed at C.","Step 1: Given q1 = 4 × 10^-6 C, q2 = -6.4 × 10^-6 C, AC = 0.12 m, BC = 0.16 m, and AB = 0.20 m. Check triangle geometry: AC^2 + BC^2 = (0.12 m)^2 + (0.16 m)^2 = 0.0144 m^2 + 0.0256 m^2 = 0.0400 m^2. AB^2 = (0.20 m)^2 = 0.0400 m^2. Since AC^2 + BC^2 = AB^2, the triangle ABC is a right-angled triangle with the right angle at C.
Step 2: The electric field E1 due to q1 at C is E1 = (9 × 10^9 N m^2/C^2) × |4 × 10^-6 C| / (0.12 m)^2 = 2.5 × 10^6 N/C. This field points along the line CA, away from q1.
Step 3: The electric field E2 due to q2 at C is E2 = (9 × 10^9 N m^2/C^2) × |-6.4 × 10^-6 C| / (0.16 m)^2 = 2.25 × 10^6 N/C. This field points along the line CB, towards q2.
Step 4: Since E1 and E2 are perpendicular at C, the magnitude of the resultant electric field 
E_C is E_C = sqrt(E1^2 + E2^2) = sqrt((2.5 × 10^6 N/C)^2 + (2.25 × 10^6 N/C)^2) = sqrt(6.25 × 10^12 + 5.0625 × 10^12) 
N/C = sqrt(11.3125 × 10^12) N/C = 3.36 × 10^6 N/C.",33.6 × 10^5,V/m,3360000.0,3360000.0,C,V/m,True,False,False
LD058,"Two charges, q1 = -1.6 × 10^-6 C and q2 = -2.4 × 10^-6 C, are placed at points A and B, respectively, which are 10 cm apart in air.
 Determine the electric field strength at point C due to these two charges. Given that AC = 8 cm and BC = 6 cm.","Step 1: Identify the given charges and distances: q1 = -1.6 × 10^-6 C at A, q2 = -2.4 × 10^-6 C at B, AC = 8 cm, BC = 6 cm, and AB = 10 cm.
Step 2: Convert distances to SI units: AC = 0.08 m and BC = 0.06 m.
Step 3: Determine the geometry of triangle ABC. Since AC² + BC² = 8² + 6² = 64 + 36 = 100 = 10² = AB², triangle ABC is right-angled at C.
Step 4: Use the electric field formula E = k|q|/r², with k = 9 × 10^9 N·m²/C².
Step 5: Calculate the electric field at C due to q1: E1 = (9 × 10^9 × 1.6 × 10^-6)/(0.08)² = 2.25 × 10^6 V/m. Since q1 is negative, E1 points from C toward A.
Step 6: Calculate the electric field at C due to q2: E2 = (9 × 10^9 × 2.4 × 10^-6)/(0.06)² = 6.0 × 10^6 V/m. Since q2 is negative, E2 points from C toward B.
Step 7: Because triangle ABC is right-angled at C, the directions of E1 and E2 are perpendicular to each other.
Step 8: Find the resultant electric field magnitude: E = √(E1² + E2²) = √((2.25 × 10^6)² + (6.0 × 10^6)²) ≈
 6.408 × 10^6 V/m ≈ 64 × 10^5 V/m.",64 × 10^5,V/m,6400000.0,6400000.0,m,V/m,True,False,False
LD059,"Four charges of the same magnitude q are placed at the four vertices of a square ABCD with side length a. 
Positive charges are located at A and C, while negative charges are located at B and D.
 Determine the resultant electric field strength at the intersection point of the square's diagonals.","Step 1: Identify the point of interest P as the center of the square, where the diagonals intersect.
Step 2: Calculate the distance from each vertex to the center. For a square with side length a, the diagonal length is a√2, so the distance from each vertex to the center is r = a√2/2 = a/√2.
Step 3: Since all charges have the same magnitude q and are at the same distance r from P, the magnitude of the electric field due to each charge is E = k|q|/r² = kq/(a/√2)² = 2kq/a².
Step 4: The positive charges at A and C are located at opposite vertices. Their electric fields at P have equal magnitudes and opposite directions along diagonal AC, so they cancel each other.
Step 5: The negative charges at B and D are also located at opposite vertices. Their electric fields at P have equal magnitudes and opposite directions along diagonal BD, so they cancel each other.
Step 6: Therefore, the total electric field at the intersection point of the diagonals is E_net = 0 V/m.",0,V/m,0.0,0.0,m,V/m,True,False,False
LD060,"Two electric charges, q1 = 5 × 10^-9 C and q2 = –5 × 10^-9 C, are placed 10 cm apart in a vacuum. What is the magnitude of 
the electric field strength at the midpoint of the line connecting the two charges?","Step 1: Identify the given electric charges and their separation distance: q1 = 5 × 10^-9 C, q2 = -5 × 10^-9 C, and the distance between them is 10 cm = 0.10 m.
Step 2: Calculate the distance from each charge to the midpoint: r = 0.10 / 2 = 0.05 m.
Step 3: Use the electric field formula E = k|q|/r², where k = 9 × 10^9 N·m²/C².
Step 4: Calculate the magnitude of the electric field due to q1 at the midpoint: E1 = (9 × 10^9 × 5 × 10^-9)/(0.05)² = 18000 V/m.
Step 5: Calculate the magnitude of the electric field due to q2 at the midpoint: E2 = (9 × 10^9 × 5 × 10^-9)/(0.05)² = 18000 V/m.
Step 6: The electric field due to positive q1 points away from q1, while the electric field due to negative q2 points toward q2. At the midpoint, both fields point from q1 toward q2, so they are in the same direction.
Step 7: Therefore, the net electric field magnitude is E = E1 + E2 = 18000 + 18000 = 36000 V/m.",36000,V/m,36000.0,36000.0,m,V/m,True,False,False
LD061,"Two electric charges, q1 = q2 = 5 × 10^-16 C, are placed at vertices B and C of an equilateral triangle ABC with a side
 length of 8 cm, in air. What is the magnitude of the electric field strength at vertex A?","Step 1: Convert the side length of the equilateral triangle from centimeters to meters: r = 8 cm = 0.08 m.
Step 2: Identify the given charges: q1 = q2 = 5 × 10^-16 C. Since the charges are equal and are placed at vertices B and C, their distances to vertex A are also equal.
Step 3: Use the electric field formula E = k|q|/r², with k ≈ 9 × 10^9 N·m²/C².
Step 4: Calculate the electric field at A due to q1: E1 = (9 × 10^9 × 5 × 10^-16)/(0.08)² = 7.03125 × 10^-4 V/m.
Step 5: Calculate the electric field at A due to q2. Since q2 has the same magnitude and the same distance from A, E2 = E1 = 7.03125 × 10^-4 V/m.
Step 6: The two electric field vectors at A form a 60° angle because ABC is an equilateral triangle.
Step 7: Find the resultant electric field: E = √(E1² + E2² + 2E1E2cos60°). Since E1 = E2, this becomes E = E1√3.
Step 8: Substitute the value: E = 7.03125 × 10^-4 × √3 ≈ 1.2178 × 10^-3 V/m.",1.2178 × 10^-3,V/m,0.0012178,0.0012178,m,V/m,True,False,False
LD062,"Two electric charges q1 = 5 × 10^-9 C and q2 = –5 × 10^-9 C are placed at two points separated by 10 cm in a vacuum. Calculate the magnitude of the electric field strength at a point located on the
 straight line passing through the two charges, and which is 5 cm from q1 and 15 cm from q2.","Step 1: Identify the given values and convert units to SI units: q1 = 5 × 10^-9 C, q2 = -5 × 10^-9 C, the distance between the charges is 10 cm = 0.10 m, r1 = 5 cm = 0.05 m, and r2 = 15 cm = 0.15 m.
Step 2: Since the point is 5 cm from q1 and 15 cm from q2, while q1 and q2 are 10 cm apart, the point lies outside the segment between the two charges, on the side of q1.
Step 3: Use the electric field formula E = k|q|/r², with k = 9 × 10^9 N·m²/C².
Step 4: Calculate the electric field due to q1: E1 = (9 × 10^9 × 5 × 10^-9)/(0.05)² = 18000 V/m.
Step 5: Calculate the electric field due to q2: E2 = (9 × 10^9 × 5 × 10^-9)/(0.15)² = 2000 V/m.
Step 6: At this point, the electric field due to positive q1 points away from q1, while the electric field due to negative q2 points toward q2. These two fields are in opposite directions.
Step 7: Therefore, the net electric field magnitude is E = |E1 - E2| = |18000 - 2000| = 16000 V/m.",16000,V/m,16000.0,16000.0,m,V/m,True,False,False
LD063,"Two electric charges, q1 = 5 × 10^-16 C and q2 = –5 × 10^-16 C, are placed at vertices B and C of an equilateral triangle ABC with sides of 8 cm in the air. What is the magnitude of the electric field strength at vertex A of triangle ABC?","Step 1: Given: q1 = 5 × 10^-16 C, q2 = -5 × 10^-16 C, side length r = 8 cm. For air, Coulomb's constant k = 9 × 10^9 N m^2/C^2.
Step 2: Convert side length to meters: r = 8 cm = 0.08 m.
Step 3: Calculate E1 = k × |q1| / r^2 = (9 × 10^9 N m^2/C^2) × (5 × 10^-16 C) / (0.08 m)^2 = (45 × 10^-7) / (0.0064) N/C = 7.03125 × 10^-4 N/C.
Step 4: Calculate E2 = k × |q2| / r^2 = (9 × 10^9 N m^2/C^2) × (5 × 10^-16 C) / (0.08 m)^2 = 7.03125 × 10^-4 N/C. So, E1 = E2.",0.7031 × 10^-3,V/m,2.0,0.0007031,C,V/m,False,False,False
LD064,"Two point charges, q1 = 0.5 nC and q2 = –0.5 nC, are placed at points A and B, 6 cm apart in air. What is the magnitude of the electric field strength at the midpoint of AB?","Step 1: Convert the given values to SI units: q1 = +0.5 × 10^-9 C, q2 = -0.5 × 10^-9 C, and AB = 6 cm = 0.06 m.
Step 2: The midpoint is halfway between A and B, so the distance from each charge to the midpoint is r = 3 cm = 0.03 m.
Step 3: Calculate the electric field due to q1: E1 = k|q1| / r² = 9 × 10^9 × 0.5 × 10^-9 / (0.03)² = 5000 V/m.
Step 4: Since q1 is positive, E1 points away from q1, toward B.
Step 5: Calculate the electric field due to q2: E2 = k|q2| / r² = 9 × 10^9 × 0.5 × 10^-9 / (0.03)² = 5000 V/m.
Step 6: Since q2 is negative, E2 points toward q2, which is also toward B.
Step 7: The two electric fields are in the same direction, so add them: E = E1 + E2 = 5000 + 5000 = 10000 V/m.",10000,V/m,10000.0,10000.0,m,V/m,True,False,False
LD065,"Two point charges, q1 = 0.5 nC and q2 = –0.5 nC, are placed at two points A and B, separated by 6 cm in air. What is the magnitude of the electric field strength at point M, which is located on the perpendicular bisector of AB, at a distance ℓ = 4 cm from the midpoint of AB?","Step 1: Identify the given values and convert them to SI units.
Step 2: Determine the distances from each charge to point M.
Step 3: Calculate the magnitude of the electric field due to each charge at point M.
Step 4: Determine the directions of the electric field vectors.
Step 5: Apply the principle of superposition and calculate the resultant magnitude.
Step 6: The magnitude of the electric field strength at point M is 2160 V/m.",2160,V/m,2160.0,2160.0,m,V/m,True,False,False
LD066,"Two point charges q1 = 2 × 10⁻² μC and q2 = –2 × 10⁻² μC are placed at two points A and B, separated by a distance a = 30 cm, in air. What is the magnitude of the electric field strength at point M, which is equidistant from A and B by a distance a = 30 cm?","Step 1: Convert the given charge and distance values to standard SI units.
Step 2: Identify the Coulomb's constant for the medium (air).
Step 3: Calculate the magnitude of the electric field (E) at point M due to each charge individually.
Step 4: Determine the directions of the electric field vectors E1 and E2 at point M.
Step 5: Apply the principle of superposition. 
Step 6: The magnitude of the electric field strength at point M is 2000 V/m.",2000,V/m,2000.0,2000.0,m,V/m,True,False,False
LD067,"Determine the electric field vector produced by a system of two point charges, q1 = 2 × 10^-7 C and q2 = -4 × 10^-7 C, at the midpoint of the line segment connecting the two charges. The two charges are separated by 10 cm and are located in alcohol, which has a dielectric constant ε = 2.2.","Step 1: Identify the given values for the charges, their separation, and the dielectric constant of the medium.
Step 2: Convert the total separation distance to meters and determine the distance from each charge to the midpoint.
Step 3: The electric field (E) due to a point charge (q) in a medium with dielectric constant (ε_r) at a distance (r) is given by E = (k_0 / ε_r) × (|q| / r^2), where k_0 is Coulomb's constant (9 × 10^9 N×m²/C²).
Step 4: Calculate the magnitude and direction of the electric field (E1) produced by q1 at the midpoint.
Step 5: Calculate the magnitude and direction of the electric field (E2) produced by q2 at the midpoint.
Step 6: Apply the principle of superposition by vector addition to find the total electric field E = E1 + E_2.
Step 7: The magnitude of the electric field strength at the midpoint is approximately 9.8 × 10^5 N/C.",9.8 × 10^5,N/C,980000.0,980000.0,C,N/C,True,False,False
