id,prefix,family,answer_type,review_bucket,pred_answer,pred_unit,gold_answer,gold_unit,failure_reason,question_snippet,trace_summary
LD017,LD,electrostatics_force,numeric,electrostatics_target_geometry_or_vector,5.4,N,3.6,N,prediction did not match ground truth (numeric_unit_tolerant),"Three charges: q1 = +3 μC, q2 = -2 μC, and q3 = +1 μC are placed 10 cm apart on a straight line. Calculate the force acting on q2.","target=""q2"" | relations=[{""data"": {""distance_si"": 0.1, ""observation_id"": ""obs_003_num"", ""po..."
LD028,LD,electrostatics_force,numeric,electrostatics_target_geometry_or_vector,0.02304,N,27.65 × 10^-3,N,prediction did not match ground truth (numeric_unit_tolerant),"Two point charges, q1 = 8 × 10⁻⁸ C and q2 = -8 × 10⁻⁸ C, are placed at points A and B, respectively, in air (AB = 6 cm). Determine the force acting on a third charge q3 = 8 × 10...","target=""q3"" | relations=[{""data"": {""distance_si"": 0.06, ""observation_id"": ""obs_002_AB"", ""po..."
LD033,LD,electrostatics_force,numeric,electrostatics_target_geometry_or_vector,0.000144222,N,8.4 × 10^-4,N,prediction did not match ground truth (numeric_unit_tolerant),"Three charges are placed at the three vertices of an equilateral triangle with side length a = 6 cm, in air: q1 = 6×10^-9 C, q2 = q3 = -8×10^-9 C. Determine the net force acting...","target=""q0"" | relations=[{""data"": {""points"": [""W"", ""I"", ""T""], ""shape"": ""equilateral_triangl..."
LD046,LD,electrostatics_force,numeric,electrostatics_target_geometry_or_vector,10.8,N,26.2,N,prediction did not match ground truth (numeric_unit_tolerant),Two electric charges q1 = +2 μC and q2 = +3 μC are placed at two points 5 cm apart. A test charge q0 = +1 μC is placed at a point 3 cm from q1 and 4 cm from q2. What is the net...,"target=""q0"" | relations=[{""data"": {""distance_si"": 0.05, ""observation_id"": ""obs_003_num"", ""p..."
LD049,LD,electrostatics_force,numeric,electrostatics_target_geometry_or_vector,4.5,N,14.34,N,prediction did not match ground truth (numeric_unit_tolerant),"Two charges, q1 = +5 μC and q2 = +5 μC, are placed at points A and B, 10 cm apart. Calculate the magnitude of the force acting on a test charge q0 = +1 μC placed at a point 6 cm...","target=""q0"" | relations=[{""data"": {""distance_si"": 0.1, ""observation_id"": ""obs_003_AB"", ""poi..."
LD050,LD,electrostatics_force,numeric,electrostatics_target_geometry_or_vector,1.8,N,14.4,N,prediction did not match ground truth (numeric_unit_tolerant),"Two charges, q1 = +1 μC and q2 = -1 μC, are placed at two points 10 cm apart. A test charge q0 = +2 μC is placed at a point equidistant from the two charges and located on the l...","target=""q0"" | relations=[{""data"": {""distance_si"": 0.1, ""observation_id"": ""obs_003_num"", ""po..."
LD055,LD,electrostatics_force,numeric,electrostatics_target_geometry_or_vector,0.45,N,0.7,N,prediction did not match ground truth (numeric_unit_tolerant),"At two points A and B, separated by 10 cm in air, two electric charges q1 = q2 = 16 × 10^-8 C are placed. Determine the electrostatic force acting on charge q3 = 2 × 10^-6 C, wh...","target=""q3"" | relations=[{""data"": {""distance_si"": 0.08, ""observation_id"": ""obs_003_BC"", ""po..."
LD062,LD,electrostatics_field,numeric,electrostatics_target_geometry_or_vector,4500,V/m,16000,V/m,prediction did not match ground truth (numeric_unit_tolerant),Two electric charges q1 = 5 × 10^-9 C and q2 = –5 × 10^-9 C are placed at two points separated by 10 cm in a vacuum. Calculate the magnitude of the electric field strength at a...,"relations=[{""data"": {""distance_si"": 0.1, ""observation_id"": ""obs_002_num"", ""po..."
LD065,LD,electrostatics_field,numeric,electrostatics_target_geometry_or_vector,10000,V/m,2160,V/m,prediction did not match ground truth (numeric_unit_tolerant),"Two point charges, q1 = 0.5 nC and q2 = –0.5 nC, are placed at two points A and B, separated by 6 cm in air. What is the magnitude of the electric field strength at point M, whi...","relations=[{""data"": {""distance_si"": 0.06, ""observation_id"": ""obs_002_AB"", ""po..."
DT006,DT,electrostatics_field,numeric,electrostatics_target_geometry_or_vector,3.36341e+06,V/m,0.168,N,prediction did not match ground truth (numeric_unit_tolerant),"Two point charges, q1 = 4 x 10^-6 C and q2 = -6.4 x 10^-6 C, are placed at points A and B respectively, which are 20 cm apart in air. Determine the electric field strength due t...","relations=[{""data"": {""distance_si"": 0.12, ""observation_id"": ""obs_002_AC"", ""po..."
