id,prefix,family,answer_type,review_bucket,pred_answer,pred_unit,gold_answer,gold_unit,failure_reason,question_snippet,trace_summary
LD052,LD,electrostatics_field,numeric,geometry_relation_missing,,-,3.51 × 10^5,V/m,could not build field geometry coordinates,"Two point charges, q1 = q2 = 16 × 10⁻⁸ C, are placed at points A and B, which are 10 cm apart in air. Determine the electric field strength produced by these two point charges a...","relations=[{""data"": {""distance_si"": 0.08, ""observation_id"": ""obs_002_BC"", ""po..."
LD066,LD,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,2000,V/m,could not build field geometry coordinates,"Two point charges q1 = 2 × 10⁻² μC and q2 = –2 × 10⁻² μC are placed at two points A and B, separated by a distance a = 30 cm, in air. What is the magnitude of the electric field...","relations=[{""data"": {""distance_si"": 0.3, ""observation_id"": ""obs_002_a"", ""poin..."
LD069,LD,electrostatics_field,numeric,geometry_equilateral_grounding,,-,9000,N/C,could not build field geometry coordinates,"Two charges, q1 = 4 × 10^-10 C and q2 = -4 × 10^-10 C, are placed at points A and B in the air, with the distance AB = a = 2 cm. Determine the electric field vector at point N s...",relations=[]
LD071,LD,electrostatics_field,numeric,geometry_relation_missing,,-,2 × 10^5,V/m,could not build field geometry coordinates,"Two point charges q1 = -10^-6 C and q2 = 10^-6 C are placed at two points A and B, 40 cm apart in a vacuum. What is the magnitude of the resultant electric field at point N, whi...","relations=[{""data"": {""distance_si"": 0.4, ""observation_id"": ""obs_003_AB"", ""poi..."
LD073,LD,electrostatics_field,numeric,geometry_relation_missing,,-,937.5,V/m,could not build field geometry coordinates,"There are two point charges, q1 = 0.5 nC and q2 = −0.5 nC, respectively placed at points A and B, separated by a distance a = 6 cm in the air. Determine the electric field stren...","relations=[{""data"": {""distance_si"": 0.06, ""observation_id"": ""obs_002_a"", ""poi..."
LD074,LD,electrostatics_field,numeric,geometry_perpendicular_bisector_or_equidistant,,-,2160,V/m,could not build field geometry coordinates,"There are two point charges q1 = 0.5 nC and q2 = −0.5 nC, respectively placed at points A and B, separated by a distance a = 6 cm in air. Determine the electric field strength E...","relations=[{""data"": {""distance_si"": 0.06, ""observation_id"": ""obs_002_a"", ""poi..."
LD082,LD,electrostatics_field,numeric,geometry_relation_missing,,-,389,kV/m,could not build field geometry coordinates,"At two points A and B, separated by 8 cm in a vacuum, there are two point charges q1 = q2 = 16 × 10^-8 C. Determine the magnitude of the electric field caused by these two charg...","relations=[{""data"": {""distance_si"": 0.08, ""observation_id"": ""obs_002_BC"", ""po..."
LD086,LD,electrostatics_field,numeric,geometry_relation_missing,,-,27,cm,could not build field geometry coordinates,"Two point charges, q1 = 4 mC and q2 = −9 mC, are placed at points A and B, separated by 9 cm in a vacuum. What is the distance from point M to B, given that the net electric fie...","relations=[{""data"": {""distance_si"": 0.09, ""observation_id"": ""obs_002_AB"", ""po..."
LD088,LD,electrostatics_field,numeric,geometry_midpoint_grounding,,-,73718,V/m,could not build field geometry coordinates,"Given two electric charges q1 = 4.1 × 10^-10 C and q2 = −4.1 × 10^-10 C, located at points A and B in the air, separated by a distance AB = 2 cm. Determine the magnitude of the...","relations=[{""data"": {""distance_si"": 0.02, ""observation_id"": ""obs_002_AB"", ""po..."
LD090,LD,electrostatics_field,numeric,geometry_equilateral_grounding,,-,9 × 10^3,V/m,could not build field geometry coordinates,"Two electric charges, q1 = 4.1 × 10^-10 C and q2 = −4.1 × 10^-10 C, are placed at points A and B in air, with AB = 2 cm. Determine the magnitude of the electric field E (in V/m)...","relations=[{""data"": {""distance_si"": 0.02, ""observation_id"": ""obs_002_AB"", ""po..."
